patent_no,title,
9297833,"Rhodium alloy having excellent hardness, processability and antifouling properties and suitable for wire rod for probe pins",
9297087,Acidic gold alloy plating solution,
9297079,"Iron alloy article, iron alloy member, and method for producing the iron alloy article",
9296432,Aluminum alloy vehicle structural component defining an out-of-plane aperture,
9296064,"Nano-grained multilayer copper alloy sheet having high strength and high electrical conductivity, and method for manufacturing same",
9293765,Process for production of (rare earth)-Mg-Ni-based hydrogen storage alloy,
9293588,FinFET with a silicon germanium alloy channel and method of fabrication thereof,
9293554,Self-aligned liner formed on metal semiconductor alloy contacts,
9290831,"Soft-magnetic, amorphous alloy ribbon and its production method, and magnetic core constituted thereby",
9290671,Low cost semiconducting alloy nanoparticles ink and manufacturing process thereof,
9289037,Hardened cobalt based alloy jewelry and related methods,
9287028,"Alloy composition, Fe-based nano-crystalline alloy and forming method of the same",
9284628,Copper alloy sheet and method for producing same,
9284617,Method to obtain a high resistance gray iron alloy for combustion engines and general casts,
9283622,"Method for manufacturing alloy powders based on titanium, zirconium and hafnium, alloyed with the elements Ni, Cu, Ta, W, Re, Os and Ir",
9283549,Metal powderdous catalyst comprising a CoCrMo-alloy,
9279733,Bulk amorphous alloy pressure sensor,
9279617,Phlegmatized metal or alloy powder and method and/or reaction vessel for its manufacture,
9279173,Aluminum alloy forged material for automotive vehicles and production method for the material,
9278392,Synthesis of metal alloy nanoparticles via a new reagent,
9278209,Cochlear implant electrode with liquid metal alloy,
9276270,Preparing an alloy catalyst using conductive polymer coating,
9273389,Cu--In--Ga--Se quaternary alloy sputtering target,
9273383,Low-alloy steel having a high yield strength and a high sulphide-induced stress cracking resistance,
9273379,Titanium alloy product having high strength and excellent cold rolling property,
9273378,Fine solid solution alloy particles and method for producing same,
9273374,"Heat-resistant bearing formed of Ta or a1-added Ni.sub.3(Si, Ti)-based intermetallic compound alloy and method for producing the same",
9273369,Thermomechanical methodology for stabilizing shape memory alloy (SMA) response,
9272334,Synthesis of platinum-alloy nanoparticles and supported catalysts including the same,
9272327,"Method for producing shaped article of aluminum alloy, shaped aluminum alloy article and production system",
9269965,"Pd-Y alloy catalyst, method for preparing the same, and fuel cell comprising the catalyst",
9267617,"Drive unit for a micro valve comprising a shape memory alloy, and micro valve",
9267494,Shape memory alloy based linear actuator assembly,
9267493,Intrinsic monitoring of shape memory alloy actuated devices,
9267192,Processable high thermal neutron absorbing Fe-base alloy powder,
9267184,Systems and methods for processing alloy ingots,
9266071,Hydrogen separation alloy and method for producing same,
9263245,Amalgam balls having an alloy coating,
9263168,"Aluminum alloy wire rod, aluminum alloy stranded wire, coated wire, wire harness and manufacturing method of aluminum alloy wire rod",
9263167,"Aluminum alloy wire rod, aluminum alloy stranded wire, coated wire, wire harness and manufacturing method of aluminum alloy wire rod",
9261595,Acoustic array with a shape alloy for medical ultrasound,
9260775,Low alloy steel carburization and surface microalloying process,
9260773,Nanocrystal titanium alloy and production method for same,
9260772,"Hard phase forming alloy powder, wear resistant sintered alloy, and production method for wear resistant sintered alloy",
9260770,Austenitic FE-CR-NI alloy for high temperature use,
9255319,Cr-containing austenitic alloy tube and method for producing the same,
9255317,Method of cold forming titanium alloy sheet metal,
9255315,Al-Mg alloy product suitable for armour plate applications,
9255311,"Copper alloy conductor, and trolley wire and cable using same, and copper alloy conductor fabrication method",
9255310,Cu--Mg--P based copper alloy material and method of producing the same,
9254879,Formed automotive part made from an aluminium alloy product and method of its manufacture,
9254626,Bonded object of tungsten carbide-based superhard alloy and process for producing same,
9254521,Methods of melting and introducing amorphous alloy feedstock for casting or processing,
9254519,"Composite material, part for continuous casting, continuous casting nozzle, continuous casting method, cast material, and magnesium alloy cast coil material",
9252315,Lattice matchable alloy for solar cells,
9249608,Flush door handle with shape memory alloy drive and heated handle to body seal,
9249497,"Ni alloy sputtering target, Ni alloy thin film and Ni silicide film",
9249488,"Ni-base dual multi-phase intermetallic compound alloy containing Nb and C, and manufacturing method for same",
9249483,Aluminum alloy material for storage container for high-pressure hydrogen gas,
9249482,Nickel-chromium-alloy,
9248500,Method for protecting powder metallurgy alloy elements from oxidation and/or hydrolization during sintering,
9246198,"Method for determining when a Li-ion cell comprising a negative electrode made of an alloy is fully charged, associated cell and battery",
9246177,Bimetallic alloy electrocatalysts with multilayered platinum-skin surfaces,
9246167,Method for forming zinc alloy powder for use in alkaline battery,
9245794,Formation of alloy liner by reaction of diffusion barrier and seed layer for interconnect application,
9245676,"Soft magnetic alloy powder, compact, powder magnetic core, and magnetic element",
9243333,Coated aluminum alloy pigments and corrosion-resistant coatings,
9243312,Aluminum alloy casting and production method thereof,
9243311,Method for removing phosphorous and boron from aluminium silicon alloy for use in purifying silicon,
9243309,"Ti alloy and Ti alloy member having Zr and Hf, or Zr and Nb, or Zr, Hf, and Nb for hydrogen embrittlement resistance",
9243304,Soft magnetic alloy and method for producing a soft magnetic alloy,
9240585,Manufacturing of high capacity prismatic lithium-ion alloy anodes,
9238857,Precipitation-strengthened Ni-based heat-resistant alloy and method for producing the same,
9238093,Surface improvement on electric discharge machined titanium alloy miniature parts for implantable medical device,
9236616,"Fuel cell electrode structure containing platinum alloy black layer, platinum alloy carbon support layer and substrate layer and fuel cell using the same",
9236467,Atomic layer deposition of hafnium or zirconium alloy films,
9236345,Oxide mediated epitaxial nickel disilicide alloy contact formation,
9234292,Nickel-iron alloy plating solution,
9234261,Method for the melting of near-beta titanium alloy consisting of (4.0-6.0) wt % Al-(4.5-6.0) wt % Mo-(4.5-6.0) wt % V-(2.0-3.6) wt % Cr-(0.2-0.5) wt % Fe-(0.1-2.0) wt % Zr,
9228625,Amorphous metal alloy,
9228269,Tin alloy plating solution,
9228252,Hard alloy and cutting tool,
9228250,Ni--Fe--Cr--Mo alloy,
9228249,Si alloy negative electrode active material for electric device,
9227847,Method for preparing vanadium-nitrogen alloy,
9227463,Adjustable wheel cover for aluminum alloy rim,
9227258,Lead-free solder alloy having reduced shrinkage cavities,
9227235,Method for producing a small thin-walled tube from a magnesium alloy,
